from,to,value
aus,aus,4
aus,chn,17
aus,eue,3
aus,hkg,1
aus,jpn,4
aus,tha,1
aus,usa,4
aut,deu,1
aut,eue,2
aut,usa,2
bel,bel,1
bel,eue,1
bel,usa,1
bra,bra,20
bra,can,1
bra,che,1
bra,chn,3
bra,deu,2
bra,esp,1
bra,eue,3
bra,prt,2
bra,usa,7
can,can,29
can,che,3
can,chn,10
can,eue,5
can,fin,2
can,gbr,4
can,kor,5
can,sgp,1
can,usa,21
che,eue,1
che,usa,3
chn,chn,1664
chn,esp,1
chn,eue,5
chn,fin,8
chn,gbr,30
chn,hkg,1
chn,jpn,8
chn,kor,11
chn,lka,10
chn,nor,1
chn,prt,1
chn,sau,2
chn,sgp,14
chn,swe,4
chn,tha,1
chn,twn,24
chn,usa,119
chn,vnm,1
chn,zaf,3
deu,deu,2
deu,eue,8
deu,fra,1
deu,gbr,1
deu,hkg,1
deu,prt,1
deu,svn,1
deu,usa,9
esp,esp,2
esp,eue,10
esp,fin,1
esp,nld,1
esp,usa,4
eue,eue,18
eue,fin,3
eue,fra,1
eue,gbr,15
eue,ita,2
eue,jpn,1
eue,kor,1
eue,lka,2
eue,nld,2
eue,prt,8
eue,swe,1
eue,tha,2
eue,usa,21
eue,zaf,1
fin,fin,1
fin,swe,1
fin,usa,1
fra,prt,1
fra,usa,1
gbr,gbr,43
gbr,jpn,2
gbr,nld,1
gbr,sgp,4
gbr,tur,1
gbr,usa,20
hkg,usa,1
jpn,jpn,4
jpn,usa,3
kor,kor,125
kor,lka,1
kor,tha,14
kor,twn,29
kor,usa,9
kor,vnm,16
kor,zaf,4
lka,lka,17
lka,usa,94
nld,usa,1
prt,prt,1
prt,usa,1
sgp,sgp,11
sgp,twn,1
sgp,usa,2
sgp,zaf,1
swe,swe,1
swe,usa,1
tha,tha,2
tha,twn,8
tur,tur,3
twn,twn,8
twn,usa,1
twn,vnm,16
usa,usa,296
usa,zaf,1
vnm,vnm,4
